user_id,order_id,product_name,category,timestamp
U021,O2001,Áo thun nam,Thời trang nam,2024-01-05 09:00:00
U021,O2002,Quần jeans,Thời trang nam,2024-01-10 14:30:00
U021,O2003,Giày sneaker trắng,Giày dép,2024-01-20 10:00:00
U021,O2004,Đồng hồ Casio,Phụ kiện,2024-02-01 15:00:00
U021,O2005,Sữa rửa mặt Hada Labo,Làm đẹp,2024-02-15 11:00:00
U021,O2006,Son 3CE màu đỏ gạch,Trang điểm,2024-02-20 12:00:00
U021,O2007,Điện thoại iPhone,Điện tử,2024-03-01 13:00:00
U021,O2008,Ốp lưng iPhone,Phụ kiện,2024-03-05 14:00:00
U021,O2009,Tai nghe Bluetooth,Phụ kiện,2024-03-15 15:00:00
U021,O2010,Balo laptop,Túi & Balo,2024-03-25 16:00:00
U021,O2011,Áo khoác nam,Thời trang nam,2024-04-01 09:00:00
U021,O2012,Quần thể thao,Thể thao,2024-04-10 10:00:00
U021,O2013,Giày thể thao Nike,Giày dép,2024-04-20 11:00:00
U021,O2014,Bộ đồ thể thao,Thể thao,2024-04-25 12:00:00
U021,O2015,Áo thun nam,Thời trang nam,2024-05-05 13:00:00
U021,O2016,Quần jeans,Thời trang nam,2024-05-10 14:00:00
U021,O2017,Giày sneaker trắng,Giày dép,2024-05-20 15:00:00
U021,O2018,Laptop Dell,Điện tử,2024-06-01 16:00:00
U021,O2019,Chuột gaming,Phụ kiện,2024-06-05 09:00:00
U021,O2020,Bàn phím cơ,Ráp & Sửa chữa,2024-06-15 10:00:00
U021,O2021,Sữa tắm Dove,Chăm sóc sức khỏe,2024-06-25 11:00:00
U021,O2022,Shampoo Sunsilk,Chăm sóc sức khỏe,2024-07-01 12:00:00
U021,O2023,Áo sơ mi nam,Thời trang nam,2024-07-10 13:00:00
U021,O2024,Quần tây nam,Thời trang nam,2024-07-15 14:00:00
U021,O2025,Giày sneaker Adidas,Giày dép,2024-07-25 15:00:00
U021,O2026,Áo thun nam,Thời trang nam,2024-08-05 16:00:00
U021,O2027,Quần jeans,Thời trang nam,2024-08-10 09:00:00
U021,O2028,Giày sneaker trắng,Giày dép,2024-08-20 10:00:00
U021,O2029,Son môi MAC,Trang điểm,2024-09-01 11:00:00
U021,O2030,Phấn nền Maybellin   e,Trang điểm,2024-09-05 12:00:00
U021,O2031,Túi xách nữ,Thời trang nữ,2024-09-15 13:00:00
U021,O2032,Điện thoại Samsung,Điện tử,2024-10-01 14:00:00
U021,O2033,Ốp lưng Samsung,Phụ kiện,2024-10-05 15:00:00
U021,O2034,Bàn làm việc,Gia dụng,2024-10-15 16:00:00
U021,O2035,Đèn bàn LED,Gia dụng,2024-10-20 09:00:00
U021,O2036,Thảm trải sàn,Gia dụng,2024-11-01 10:00:00
U021,O2037,Áo hoodie,Thời trang nam,2024-11-10 11:00:00
U021,O2038,Quần short nam,Thời trang nam,2024-11-15 12:00:00
U021,O2039,Giày thể thao Puma,Giày dép,2024-11-25 13:00:00
U021,O2040,Bộ đồ thể thao,Thể thao,2024-12-01 14:00:00
U021,O2041,Đồng hồ điện tử Casio,Phụ kiện,2024-12-10 15:00:00
U021,O2042,Sữa dưỡng thể Nivea,Chăm sóc sức khỏe,2024-12-15 16:00:00
U021,O2043,Kem chống nắng Neutrogena,Làm đẹp,2024-12-20 09:00:00
U021,O2044,Chảo chống dính,Gia dụng,2024-12-25 10:00:00